# downloaded from PARSEC/CMD via ezpadova
# Zini MH logAge Mini int_IMF Mass logL logTe logg label McoreTP C_O period0 period1 period2 period3 period4 pmode Mloss tau1m X Y Xc Xn Xo Cexcess Z mbolmag F062mag F087mag F106mag F129mag F158mag F184mag F146mag F213mag SNprismmag Grism_1stOrdermag Grism_0thOrdermag
0.01471 0 9.78176 0.0900000036 1.081689593 0.09 -3.422 3.3633 5.219 1 0 0.545 0 0 0 0 0 -1 -3.9e-17 0 0.71 0.2752 0.002655 0.0007163 0.006496 -1 0.01476 13.325 16.37 12.977 11.846 11.187 10.755 10.634 11.198 10.389 11.583 11.092 10.747
0.01471 0 9.78176 0.1000000015 1.171106412 0.1 -3.238 3.3894 5.186 1 0 0.545 0 0 0 0 0 -1 -5.87e-17 0 0.7098 0.2754 0.002655 0.0007163 0.006496 -1 0.01476 12.866 15.902 12.519 11.386 10.729 10.298 10.174 10.739 9.928 11.124 10.634 10.288
0.01471 0 9.78176 0.1129350215 1.270886663 0.113 -3.061 3.413 5.155 1 0 0.545 0 0 0 0 0 -1 -8.61e-17 0 0.7094 0.2758 0.002655 0.0007163 0.006496 -1 0.01476 12.421 15.45 12.076 10.941 10.286 9.856 9.729 10.296 9.483 10.681 10.191 9.843
0.01471 0 9.78176 0.1200000048 1.319315474 0.12 -2.972 3.4247 5.14 1 0 0.545 0 0 0 0 0 -1 -1.04e-16 0 0.7092 0.276 0.002655 0.0007163 0.006496 -1 0.01476 12.2 15.028 11.8 10.719 10.076 9.645 9.511 10.081 9.273 10.463 9.979 9.625
0.01471 0 9.78176 0.1400000006 1.438452672 0.14 -2.789 3.4446 5.103 1 0 0.545 0 0 0 0 0 -1 -1.53e-16 0 0.7088 0.2765 0.002655 0.0007163 0.006496 -1 0.01476 11.743 14.09 11.209 10.262 9.65 9.218 9.071 9.645 8.855 10.014 9.55 9.184
0.01471 0 9.78176 0.1498039067 1.489047972 0.15 -2.718 3.4514 5.089 1 0 0.545 0 0 0 0 0 -1 -1.78e-16 0 0.7086 0.2767 0.002655 0.0007163 0.006496 -1 0.01476 11.564 13.758 10.988 10.084 9.482 9.05 8.899 9.474 8.69 9.839 9.381 9.011
0.01471 0 9.78176 0.1599999964 1.537293155 0.16 -2.648 3.4581 5.075 1 0 0.545 0 0 0 0 0 -1 -2.05e-16 0 0.7084 0.2769 0.002655 0.0007163 0.006496 -1 0.01476 11.39 13.436 10.776 9.913 9.32 8.887 8.733 9.309 8.532 9.669 9.218 8.845
0.01471 0 9.78176 0.200000003 1.693879086 0.2 -2.431 3.4769 5.029 1 0 0.545 0 0 0 0 0 -1 -3.19e-16 0 0.7076 0.2776 0.002655 0.0007163 0.006496 -1 0.01476 10.847 12.532 10.142 9.379 8.811 8.377 8.217 8.793 8.034 9.14 8.707 8.326
0.01471 0 9.78176 0.25 1.8403258 0.25 -2.223 3.4932 4.983 1 0 0.545 0 0 0 0 0 -1 -4.85e-16 0 0.7069 0.2783 0.002655 0.0007163 0.006496 -1 0.01476 10.327 11.727 9.561 8.874 8.324 7.889 7.723 8.3 7.557 8.636 8.218 7.83
0.01471 0 9.78176 0.3000000119 1.952913977 0.3 -2.061 3.5038 4.943 1 0 0.545 0 0 0 0 0 -1 -3.17e-16 0 0.7067 0.2786 0.002655 0.0007163 0.006496 -1 0.01476 9.921 11.174 9.125 8.478 7.939 7.502 7.334 7.91 7.178 8.24 7.831 7.44
0.01471 0 9.78176 0.3319175541 2.012744443 0.332 -1.961 3.5094 4.909 1 0 0.545 0 0 0 0 0 -1 -6.32e-16 0 0.7094 0.2758 0.002655 0.0007163 0.006496 -1 0.01476 9.672 10.852 8.861 8.234 7.701 7.262 7.092 7.669 6.942 7.996 7.591 7.197
0.01471 0 9.78176 0.3500000238 2.043417513 0.35 -1.907 3.5124 4.891 1 0 0.545 0 0 0 0 0 -1 -8.43e-16 0 0.7105 0.2747 0.002655 0.0007163 0.006496 -1 0.01476 9.538 10.683 8.721 8.103 7.573 7.133 6.962 7.54 6.815 7.865 7.462 7.067
0.01471 0 9.78176 0.4000000358 2.118502481 0.4 -1.763 3.5234 4.849 1 0 0.545 0 0 0 0 0 -1 -1.29e-15 0 0.7106 0.2746 0.002655 0.0007163 0.006496 -1 0.01476 9.178 10.195 8.339 7.757 7.236 6.791 6.615 7.197 6.479 7.517 7.122 6.719
0.01471 0 9.78176 0.4500000179 2.182280936 0.45 -1.614 3.5356 4.799 1 0 0.545 0 0 0 0 0 -1 -1.82e-15 0 0.7107 0.2745 0.002655 0.0007163 0.006496 -1 0.01476 8.804 9.696 7.947 7.4 6.889 6.437 6.254 6.842 6.129 7.158 6.77 6.356
0.01471 0 9.78176 0.5 2.237454153 0.5 -1.456 3.5508 4.749 1 0 0.545 0 0 0 0 0 -1 -2.63e-15 0 0.7107 0.2745 0.002655 0.0007163 0.006496 -1 0.01476 8.411 9.161 7.537 7.031 6.53 6.07 5.877 6.475 5.767 6.786 6.405 5.978
0.01471 0 9.78176 0.5083072782 2.245857089 0.508 -1.427 3.5542 4.74 1 0 0.545 0 0 0 0 0 -1 -2.81e-15 0 0.713 0.2724 0.002635 0.000711 0.006449 -1 0.01465 8.338 9.056 7.461 6.963 6.465 6.004 5.808 6.408 5.701 6.717 6.339 5.909
0.01471 0 9.78176 0.5500000119 2.283658263 0.55 -1.286 3.5704 4.698 1 0 0.545 0 0 0 0 0 -1 -3.93e-15 0 0.7248 0.2611 0.002534 0.0006836 0.006201 -1 0.01408 7.985 8.554 7.098 6.641 6.154 5.683 5.478 6.086 5.387 6.391 6.021 5.578
0.01471 0 9.78176 0.6000000238 2.321121326 0.6 -1.117 3.5946 4.663 1 0 0.545 0 0 0 0 0 -1 -5.77e-15 0 0.7269 0.2591 0.002516 0.0006791 0.006161 -1 0.01401 7.562 7.936 6.674 6.267 5.791 5.307 5.097 5.713 5.032 6.009 5.65 5.197
0.01471 0 9.78176 0.6499999762 2.352035311 0.65 -0.946 3.6238 4.644 1 0 0.545 0 0 0 0 0 -1 -8.41e-15 0 0.7289 0.2572 0.002501 0.0006749 0.006123 -1 0.01393 7.134 7.316 6.251 5.891 5.427 4.943 4.746 5.348 4.706 5.631 5.287 4.844
0.01471 0 9.78176 0.7000000477 2.377926726 0.7 -0.78 3.6536 4.63 1 0 0.544 0 0 0 0 0 -1 -1.2e-14 0 0.7307 0.2555 0.002486 0.000671 0.006088 -1 0.01379 6.721 6.723 5.848 5.535 5.097 4.644 4.474 5.032 4.45 5.292 4.971 4.567
0.01471 0 9.78176 0.7255893946 2.389601478 0.726 -0.698 3.6686 4.623 1 0 0.541 0 0 0 0 0 -1 -1.44e-14 0 0.7318 0.2544 0.00246 0.0006682 0.006068 -1 0.01378 6.515 6.444 5.644 5.355 4.94 4.52 4.364 4.888 4.344 5.131 4.828 4.453
0.01471 0 9.78176 0.75 2.399888909 0.75 -0.621 3.6824 4.616 1 0 0.537 0 0 0 0 0 -1 -1.7e-14 0 0.7328 0.2535 0.002436 0.0006657 0.00605 -1 0.01372 6.323 6.198 5.455 5.189 4.798 4.411 4.268 4.757 4.249 4.984 4.699 4.353
0.01471 0 9.78176 0.785420835 2.413516744 0.785 -0.516 3.6983 4.594 1 0 0.537 0 0 0 0 0 -1 -2.18e-14 0 0.7348 0.2515 0.00242 0.0006614 0.006011 -1 0.01365 6.059 5.886 5.201 4.958 4.592 4.238 4.11 4.563 4.093 4.772 4.506 4.191
0.01471 0 9.78176 0.8000000119 2.418724441 0.8 -0.473 3.7047 4.585 1 0 0.537 0 0 0 0 0 -1 -2.41e-14 0 0.7357 0.2507 0.002414 0.0006596 0.005995 -1 0.01362 5.952 5.763 5.099 4.866 4.51 4.17 4.048 4.485 4.03 4.688 4.429 4.126
0.01471 0 9.78176 0.8001872897 2.418789918 0.8 -0.472 3.7048 4.585 1 0 0.537 0 0 0 0 0 -1 -2.41e-14 0 0.7357 0.2507 0.002414 0.0006596 0.005994 -1 0.01362 5.951 5.762 5.098 4.864 4.509 4.169 4.047 4.484 4.029 4.687 4.428 4.125
0.01471 0 9.78176 0.8304499984 2.428926086 0.83 -0.384 3.7173 4.562 1 0 0.537 0 0 0 0 0 -1 -2.97e-14 0 0.7377 0.2487 0.002397 0.0006552 0.005955 -1 0.01353 5.73 5.513 4.889 4.674 4.338 4.023 3.912 4.321 3.895 4.51 4.267 3.987
0.01471 0 9.78176 0.8500000238 2.435034684 0.849 -0.328 3.7252 4.547 1 0 0.537 0 0 0 0 0 -1 -3.4e-14 0 0.7391 0.2475 0.002386 0.0006523 0.005929 -1 0.01347 5.589 5.359 4.757 4.553 4.229 3.929 3.825 4.216 3.808 4.397 4.163 3.897
0.01471 0 9.78176 0.8764252663 2.442795484 0.876 -0.251 3.735 4.524 1 0 0.536 0 0 0 0 0 -1 -4.11e-14 0 0.7413 0.2453 0.002368 0.0006475 0.005886 -1 0.01339 5.398 5.154 4.579 4.389 4.081 3.798 3.702 4.071 3.686 4.242 4.02 3.771
0.01471 0 9.78176 0.8999999762 2.449278602 0.899 -0.184 3.7433 4.501 1 0 0.536 0 0 0 0 0 -1 -4.86e-14 0 0.7433 0.2434 0.002352 0.0006431 0.005847 -1 0.01328 5.229 4.976 4.425 4.246 3.95 3.681 3.593 3.944 3.577 4.107 3.894 3.659
0.01471 0 9.78176 0.9086174965 2.451552107 0.908 -0.159 3.7462 4.491 1 0 0.536 0 0 0 0 0 -1 -5.18e-14 0 0.7443 0.2425 0.002345 0.0006411 0.005829 -1 0.01325 5.167 4.912 4.369 4.193 3.902 3.637 3.551 3.897 3.536 4.057 3.847 3.617
0.01471 0 9.78176 0.9235229492 2.455369573 0.923 -0.116 3.7509 4.474 1 0 0.536 0 0 0 0 0 -1 -5.79e-14 0 0.7459 0.2409 0.002332 0.0006376 0.005798 -1 0.01319 5.059 4.801 4.272 4.101 3.817 3.56 3.478 3.813 3.463 3.969 3.765 3.542
0.01471 0 9.78176 0.9376888871 2.458868585 0.937 -0.075 3.7553 4.457 1 0 0.536 0 0 0 0 0 -1 -6.44e-14 0 0.7475 0.2394 0.002319 0.0006342 0.005767 -1 0.01314 4.956 4.697 4.179 4.014 3.735 3.485 3.407 3.733 3.392 3.885 3.685 3.469
0.01471 0 9.78176 0.9499999881 2.461812187 0.949 -0.039 3.7589 4.442 1 0 0.536 0 0 0 0 0 -1 -7.07e-14 0 0.7489 0.238 0.002307 0.0006311 0.00574 -1 0.01308 4.867 4.607 4.098 3.937 3.664 3.419 3.344 3.663 3.329 3.811 3.615 3.405
0.01471 0 9.78176 0.9517028332 2.462212451 0.951 -0.034 3.7594 4.44 1 0 0.536 0 0 0 0 0 -1 -7.17e-14 0 0.7492 0.2378 0.002305 0.0006306 0.005735 -1 0.01307 4.855 4.594 4.087 3.926 3.654 3.409 3.335 3.653 3.321 3.801 3.605 3.396
0.01471 0 9.78176 0.9643545747 2.465135481 0.964 0.003 3.7628 4.422 1 0 0.536 0 0 0 0 0 -1 -7.91e-14 0 0.7511 0.236 0.00229 0.0006265 0.005699 -1 0.01299 4.762 4.501 4.003 3.846 3.578 3.339 3.267 3.579 3.253 3.723 3.532 3.327
0.01471 0 9.78176 0.9765542746 2.467871744 0.976 0.039 3.7659 4.404 1 0 0.536 0 0 0 0 0 -1 -8.71e-14 0 0.7529 0.2342 0.002275 0.0006225 0.005663 -1 0.0129 4.672 4.411 3.921 3.768 3.505 3.27 3.201 3.506 3.187 3.648 3.46 3.26
0.01471 0 9.78176 0.9988940358 2.472683642 0.999 0.105 3.7713 4.369 1 0 0.536 0 0 0 0 0 -1 -1.05e-13 0 0.7565 0.2307 0.002247 0.0006148 0.005594 -1 0.01272 4.507 4.246 3.771 3.623 3.368 3.141 3.076 3.37 3.063 3.508 3.325 3.133
0.01471 0 9.78176 1 2.472915448 1 0.109 3.7715 4.367 1 0 0.536 0 0 0 0 0 -1 -1.05e-13 0 0.7567 0.2306 0.002246 0.0006144 0.00559 -1 0.01272 4.499 4.238 3.763 3.616 3.361 3.135 3.069 3.364 3.056 3.501 3.318 3.127
0.01471 0 9.78176 1.005673647 2.474095406 1.005 0.125 3.7727 4.358 1 0 0.536 0 0 0 0 0 -1 -1.1e-13 0 0.7579 0.2294 0.002236 0.0006118 0.005567 -1 0.01268 4.456 4.196 3.724 3.579 3.325 3.101 3.036 3.328 3.024 3.464 3.283 3.093
0.01471 0 9.78176 1.017046571 2.476415128 1.016 0.16 3.775 4.338 1 0 0.535 0 0 0 0 0 -1 -1.19e-13 0 0.7604 0.227 0.002216 0.0006065 0.005519 -1 0.01257 4.371 4.111 3.646 3.503 3.252 3.031 2.969 3.256 2.956 3.39 3.211 3.025
0.01471 0 9.78176 1.027657032 2.478526175 1.027 0.191 3.7769 4.318 1 0 0.535 0 0 0 0 0 -1 -1.28e-13 0 0.7628 0.2248 0.002197 0.0006015 0.005474 -1 0.01248 4.293 4.033 3.573 3.432 3.184 2.966 2.905 3.188 2.892 3.32 3.144 2.96
0.01471 0 9.78176 1.038569093 2.480645569 1.038 0.222 3.7784 4.298 1 0 0.535 0 0 0 0 0 -1 -1.38e-13 0 0.7652 0.2224 0.002178 0.0005963 0.005427 -1 0.01238 4.215 3.955 3.499 3.36 3.114 2.899 2.839 3.119 2.826 3.25 3.075 2.893
0.01471 0 9.78176 1.048614263 2.482551817 1.048 0.251 3.7797 4.277 1 0 0.535 0 0 0 0 0 -1 -1.48e-13 0 0.7673 0.2205 0.002162 0.0005919 0.005388 -1 0.01229 4.142 3.882 3.43 3.292 3.048 2.834 2.775 3.053 2.763 3.183 3.009 2.829
0.01471 0 9.78176 1.049999952 2.482811486 1.049 0.255 3.7798 4.275 1 0 0.535 0 0 0 0 0 -1 -1.49e-13 0 0.7675 0.2202 0.00216 0.0005913 0.005383 -1 0.01228 4.131 3.872 3.42 3.282 3.038 2.825 2.766 3.044 2.754 3.173 2.999 2.82
0.01471 0 9.78176 1.060522795 2.484757959 1.059 0.287 3.7809 4.252 1 0 0.535 0 0 0 0 0 -1 -1.61e-13 0 0.7703 0.2175 0.002138 0.0005855 0.005331 -1 0.01216 4.052 3.793 3.345 3.208 2.965 2.753 2.695 2.971 2.683 3.099 2.927 2.749
0.01471 0 9.78176 1.074708104 2.487312651 1.073 0.333 3.7824 4.217 1 0 0.535 0 0 0 0 0 -1 -1.81e-13 0 0.7719 0.216 0.002126 0.0005822 0.005302 -1 0.01207 3.937 3.679 3.235 3.099 2.859 2.649 2.592 2.864 2.58 2.992 2.821 2.645
0.01471 0 9.78176 1.07675457 2.487674824 1.075 0.34 3.7826 4.212 1 0 0.535 0 0 0 0 0 -1 -1.84e-13 0 0.7721 0.2158 0.002125 0.0005819 0.005299 -1 0.01205 3.921 3.663 3.219 3.083 2.843 2.634 2.576 2.849 2.564 2.976 2.805 2.63
0.01471 0 9.78176 1.087909818 2.489621503 1.086 0.377 3.7833 4.182 1 0 0.534 0 0 0 0 0 -1 -2.03e-13 0 0.7727 0.2153 0.002122 0.0005813 0.005293 -1 0.01205 3.826 3.569 3.127 2.992 2.753 2.544 2.487 2.759 2.476 2.885 2.715 2.541
0.01471 0 9.78176 1.098706842 2.49146244 1.097 0.415 3.7835 4.149 1 0 0.534 0 0 0 0 0 -1 -2.25e-13 0 0.7729 0.2151 0.002122 0.0005815 0.005296 -1 0.01203 3.733 3.475 3.034 2.899 2.66 2.452 2.395 2.666 2.383 2.793 2.622 2.449
0.01471 0 9.78176 1.100000024 2.491680148 1.099 0.42 3.7834 4.145 1 0 0.534 0 0 0 0 0 -1 -2.28e-13 0 0.7728 0.2152 0.002124 0.0005818 0.005299 -1 0.01204 3.721 3.463 3.022 2.887 2.648 2.44 2.383 2.654 2.371 2.781 2.611 2.437
0.01471 0 9.78176 1.107580662 2.492944601 1.106 0.447 3.7832 4.12 1 0 0.534 0 0 0 0 0 -1 -2.45e-13 0 0.7711 0.2167 0.002141 0.0005867 0.005342 -1 0.01216 3.653 3.395 2.953 2.818 2.578 2.37 2.313 2.584 2.301 2.711 2.541 2.366
0.01471 0 9.78176 1.116230011 2.494363219 1.115 0.479 3.7823 4.087 1 0 0.534 0 0 0 0 0 -1 -2.69e-13 0 0.7691 0.2186 0.002162 0.0005927 0.005396 -1 0.01231 3.572 3.314 2.87 2.734 2.493 2.284 2.226 2.499 2.214 2.627 2.455 2.28
0.01471 0 9.78176 1.119690776 2.49492378 1.118 0.492 3.7819 4.074 1 0 0.534 0 0 0 0 0 -1 -2.8e-13 0 0.7684 0.2193 0.002169 0.0005948 0.005414 -1 0.01235 3.54 3.281 2.836 2.699 2.458 2.248 2.191 2.464 2.178 2.592 2.42 2.244
