# Combined PARSEC isochrone (>= 0.55 Msun), Henry & McCarthy 1993, AJ, 106, 773's relation (0.09 Msun <= M <= 0.48 Msun), and Baraffe et al. 2003, A&A, 402, 701's isochrone (M <= 0.08 Msun)
# References for the PARSEC isochrone : 
# Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
#       Mini     MPD      Rad    MV_j    MI_c   MJ_2M   MH_2M   MK_2M
0.0030000000  0.0030    0.104  61.460  50.790  37.358  34.544  54.256
0.0040000000  0.0040    0.104  58.000  47.860  35.127  33.108  51.086
0.0050000000  0.0050    0.103  54.620  45.050  33.228  31.766  48.236
0.0060000000  0.0060    0.102  51.290  42.300  31.448  30.472  45.506
0.0070000000  0.0070    0.102  48.170  39.720  29.815  29.276  42.986
0.0080000000  0.0080    0.101  45.190  37.280  28.310  28.147  40.636
0.0090000000  0.0090    0.100  42.490  35.070  26.971  27.124  38.526
0.0100000000  0.0100    0.099  39.950  33.000  25.729  26.180  36.566
0.0120000000  0.0120    0.098  35.230  29.120  23.498  24.425  33.036
0.0150000000  0.0150    0.096  32.810  26.800  22.228  23.149  30.436
0.0200000000  0.0200    0.093  30.750  24.640  20.922  21.596  26.996
0.0300000000  0.0300    0.088  28.980  22.350  19.522  19.608  22.566
0.0400000000  0.0400    0.083  28.180  21.190  18.200  18.291  19.966
0.0500000000  0.0500    0.079  27.640  20.470  17.009  17.161  18.046
0.0600000000  0.0600    0.076  27.200  19.930  15.974  16.174  16.526
0.0700000000  0.0700    0.078  25.690  18.600  14.334  14.436  14.336
0.0720000000  0.0720    0.081  24.170  17.480  13.407  13.415  13.336
0.0750000000  0.0750    0.089  21.100  15.390  12.217  11.958  11.786
0.0800000000  0.0800    0.099  19.100  13.890  11.427  11.070  10.796
# Empirical relation based on Bennett+15
0.0900000000  0.0900    0.124  16.668  12.478  10.465   9.780   9.480
 0.100 0.10 0.122 15.949 12.112 10.177  9.507  9.206
 0.110 0.11 0.122 15.514 11.836  9.984  9.289  8.980
0.1200000000  0.1200    0.157  15.195  11.614   9.823   9.122   8.793
0.1500000000  0.1500    0.185  14.224  10.965   9.287   8.641   8.296
0.1800000000  0.1800    0.212  13.541  10.469   8.878   8.260   7.916
0.2100000000  0.2100    0.237  12.997  10.067   8.542   7.940   7.601
0.2400000000  0.2400    0.262  12.539   9.727   8.253   7.662   7.330
0.2700000000  0.2700    0.286  12.138   9.431   7.997   7.413   7.090
0.3000000000  0.3000    0.310  11.779   9.163   7.766   7.187   6.872
0.3300000000  0.3300    0.336  11.452   8.917   7.554   6.978   6.672
0.3600000000  0.3600    0.363  11.149   8.685   7.357   6.782   6.485
0.3900000000  0.3900    0.388  10.865   8.465   7.172   6.597   6.309
0.4200000000  0.4200    0.415  10.597   8.256   6.996   6.420   6.142
0.4500000000  0.4500    0.444  10.341   8.057   6.828   6.251   5.982
0.4800000000  0.4800    0.473  10.096   7.867   6.666   6.087   5.827
# logAge= 9.84510 is picked from isochrones/CMD-3.6-NSD.dat
0.5500000715  0.5500    0.552   9.597   7.446   6.241   5.632   5.387
0.6000000238  0.6000    0.601   8.903   6.983   5.888   5.260   5.044
0.6389079094  0.6390    0.632   8.346   6.620   5.610   4.973   4.791
0.6499999762  0.6500    0.640   8.197   6.522   5.532   4.898   4.725
0.7000000477  0.7000    0.675   7.509   6.086   5.196   4.590   4.457
0.7194151878  0.7190    0.688   7.242   5.917   5.072   4.496   4.373
0.7500000000  0.7500    0.708   6.850   5.658   4.882   4.363   4.251
0.7666308284  0.7660    0.724   6.672   5.529   4.780   4.287   4.178
0.7978135943  0.7980    0.757   6.357   5.296   4.595   4.140   4.039
0.7994046211  0.7990    0.759   6.341   5.285   4.586   4.133   4.032
0.8235678673  0.8230    0.786   6.107   5.107   4.443   4.020   3.923
0.8474076986  0.8470    0.815   5.885   4.936   4.305   3.908   3.815
0.8488091230  0.8480    0.816   5.873   4.926   4.297   3.901   3.808
0.8627884984  0.8620    0.835   5.747   4.826   4.214   3.833   3.742
0.8840513229  0.8830    0.866   5.560   4.674   4.088   3.727   3.640
0.8982136250  0.8970    0.886   5.437   4.575   4.005   3.657   3.571
0.9080452323  0.9070    0.902   5.353   4.506   3.946   3.606   3.522
0.9347069263  0.9340    0.951   5.128   4.321   3.786   3.466   3.386
0.9476182461  0.9470    0.976   5.021   4.231   3.708   3.396   3.319
0.9569943547  0.9560    0.996   4.944   4.165   3.650   3.343   3.267
0.9789054990  0.9780    1.048   4.763   4.009   3.510   3.216   3.143
0.9896062016  0.9890    1.074   4.676   3.933   3.440   3.152   3.080
0.9970227480  0.9970    1.095   4.615   3.880   3.391   3.107   3.036
1.0083922148  1.0080    1.128   4.524   3.798   3.317   3.037   2.966
1.0259914398  1.0250    1.182   4.387   3.674   3.200   2.925   2.856
1.0418747663  1.0410    1.239   4.260   3.556   3.087   2.817   2.749
1.0464272499  1.0450    1.257   4.222   3.520   3.053   2.785   2.717
1.0559157133  1.0550    1.298   4.141   3.444   2.979   2.714   2.646
1.0694060326  1.0680    1.364   4.021   3.329   2.867   2.603   2.536
1.0788152218  1.0770    1.415   3.936   3.245   2.783   2.520   2.453
1.0892984867  1.0880    1.484   3.839   3.147   2.684   2.420   2.353
1.0958318710  1.0940    1.532   3.778   3.084   2.619   2.353   2.286
1.0978326797  1.0960    1.548   3.759   3.064   2.598   2.332   2.265
1.1003104448  1.0990    1.571   3.736   3.038   2.570   2.303   2.235
1.1069935560  1.1050    1.632   3.673   2.968   2.495   2.224   2.155
