# Combined PARSEC isochrone (>= 0.55 Msun), Henry & McCarthy 1993, AJ, 106, 773's relation (0.09 Msun <= M <= 0.48 Msun), and Baraffe et al. 2003, A&A, 402, 701's isochrone (M <= 0.08 Msun)
# References for the PARSEC isochrone : 
# Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
#       Mini     MPD      Rad    MV_j    MI_c   MJ_2M   MH_2M   MK_2M
0.0030000000  0.0030    0.104  61.460  50.790  37.358  34.544  54.256
0.0040000000  0.0040    0.104  58.000  47.860  35.127  33.108  51.086
0.0050000000  0.0050    0.103  54.620  45.050  33.228  31.766  48.236
0.0060000000  0.0060    0.102  51.290  42.300  31.448  30.472  45.506
0.0070000000  0.0070    0.102  48.170  39.720  29.815  29.276  42.986
0.0080000000  0.0080    0.101  45.190  37.280  28.310  28.147  40.636
0.0090000000  0.0090    0.100  42.490  35.070  26.971  27.124  38.526
0.0100000000  0.0100    0.099  39.950  33.000  25.729  26.180  36.566
0.0120000000  0.0120    0.098  35.230  29.120  23.498  24.425  33.036
0.0150000000  0.0150    0.096  32.810  26.800  22.228  23.149  30.436
0.0200000000  0.0200    0.093  30.750  24.640  20.922  21.596  26.996
0.0300000000  0.0300    0.088  28.980  22.350  19.522  19.608  22.566
0.0400000000  0.0400    0.083  28.180  21.190  18.200  18.291  19.966
0.0500000000  0.0500    0.079  27.640  20.470  17.009  17.161  18.046
0.0600000000  0.0600    0.076  27.200  19.930  15.974  16.174  16.526
0.0700000000  0.0700    0.078  25.690  18.600  14.334  14.436  14.336
0.0720000000  0.0720    0.081  24.170  17.480  13.407  13.415  13.336
0.0750000000  0.0750    0.089  21.100  15.390  12.217  11.958  11.786
0.0800000000  0.0800    0.099  19.100  13.890  11.427  11.070  10.796
# Empirical relation based on Bennett+15
0.0900000000  0.0900    0.122  16.668  12.478  10.465   9.780   9.480
 0.100 0.10 0.122 15.949 12.112 10.177  9.507  9.206
 0.110 0.11 0.122 15.514 11.836  9.984  9.289  8.980
0.1200000000  0.1200    0.154  15.195  11.614   9.823   9.122   8.793
0.1500000000  0.1500    0.183  14.224  10.965   9.287   8.641   8.296
0.1800000000  0.1800    0.210  13.541  10.469   8.878   8.260   7.916
0.2100000000  0.2100    0.235  12.997  10.067   8.542   7.940   7.601
0.2400000000  0.2400    0.260  12.539   9.727   8.253   7.662   7.330
0.2700000000  0.2700    0.285  12.138   9.431   7.997   7.413   7.090
0.3000000000  0.3000    0.309  11.779   9.163   7.766   7.187   6.872
0.3300000000  0.3300    0.335  11.452   8.917   7.554   6.978   6.672
0.3600000000  0.3600    0.361  11.149   8.685   7.357   6.782   6.485
0.3900000000  0.3900    0.386  10.865   8.465   7.172   6.597   6.309
0.4200000000  0.4200    0.418  10.597   8.256   6.996   6.420   6.142
0.4500000000  0.4500    0.444  10.341   8.057   6.828   6.251   5.982
0.4800000000  0.4800    0.481  10.096   7.867   6.666   6.087   5.827
# logAge= 9.95424 is picked from isochrones/CMD3.3-bar_age.dat
0.5500000119  0.5500    0.555   9.307   7.304   6.177   5.572   5.337
0.6000000238  0.6000    0.604   8.619   6.838   5.809   5.183   4.984
0.6499999762  0.6500    0.644   7.908   6.368   5.436   4.814   4.661
0.6587686539  0.6590    0.650   7.781   6.287   5.373   4.755   4.610
0.7000000477  0.7000    0.681   7.205   5.918   5.092   4.524   4.406
0.7213432193  0.7210    0.699   6.924   5.728   4.949   4.420   4.310
0.7457807660  0.7460    0.719   6.622   5.517   4.791   4.307   4.203
0.7500000000  0.7500    0.724   6.572   5.482   4.763   4.286   4.184
0.7562894821  0.7560    0.730   6.502   5.431   4.722   4.253   4.153
0.7789102197  0.7790    0.756   6.259   5.249   4.577   4.139   4.044
0.7987095118  0.7980    0.780   6.055   5.092   4.450   4.039   3.946
0.8000000119  0.8000    0.783   6.041   5.081   4.442   4.032   3.940
0.8142465949  0.8140    0.802   5.899   4.970   4.351   3.957   3.868
0.8326356411  0.8320    0.828   5.719   4.825   4.231   3.858   3.771
0.8500000238  0.8490    0.856   5.552   4.689   4.118   3.762   3.678
0.8541471958  0.8530    0.863   5.512   4.657   4.090   3.739   3.656
0.8719770908  0.8710    0.897   5.341   4.517   3.971   3.635   3.555
0.8886410594  0.8880    0.931   5.185   4.387   3.858   3.536   3.458
0.8999999762  0.8990    0.956   5.078   4.297   3.779   3.465   3.390
0.9058059454  0.9050    0.970   5.024   4.251   3.738   3.428   3.354
0.9160265923  0.9150    0.996   4.928   4.167   3.663   3.359   3.286
0.9344279170  0.9330    1.050   4.753   4.014   3.523   3.230   3.160
0.9499999881  0.9490    1.101   4.608   3.883   3.402   3.117   3.048
0.9518899322  0.9510    1.107   4.590   3.868   3.388   3.103   3.035
0.9672331810  0.9660    1.166   4.448   3.736   3.263   2.984   2.916
0.9793233871  0.9780    1.221   4.327   3.623   3.154   2.879   2.812
0.9810667634  0.9800    1.230   4.309   3.606   3.138   2.863   2.796
0.9912253022  0.9900    1.287   4.204   3.504   3.038   2.765   2.698
0.9991409779  0.9980    1.336   4.120   3.421   2.955   2.682   2.615
1.0000000000  0.9990    1.343   4.111   3.412   2.945   2.672   2.606
1.0074617863  1.0070    1.398   4.029   3.329   2.861   2.586   2.519
1.0139775276  1.0130    1.453   3.957   3.252   2.781   2.504   2.437
1.0160266161  1.0150    1.475   3.935   3.227   2.754   2.476   2.408
1.0243380070  1.0230    1.569   3.846   3.124   2.639   2.352   2.283
1.0318831205  1.0300    1.688   3.789   3.034   2.526   2.220   2.147
