# Combined PARSEC isochrone (>= 0.55 Msun), Henry & McCarthy 1993, AJ, 106, 773's relation (0.09 Msun <= M <= 0.48 Msun), and Baraffe et al. 2003, A&A, 402, 701's isochrone (M <= 0.08 Msun)
# References for the PARSEC isochrone : 
# Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
#       Mini     MPD      Rad    MV_j    MI_c   MJ_2M   MH_2M   MK_2M
0.0030000000  0.0030    0.104  61.460  50.790  37.358  34.544  54.256
0.0040000000  0.0040    0.104  58.000  47.860  35.127  33.108  51.086
0.0050000000  0.0050    0.103  54.620  45.050  33.228  31.766  48.236
0.0060000000  0.0060    0.102  51.290  42.300  31.448  30.472  45.506
0.0070000000  0.0070    0.102  48.170  39.720  29.815  29.276  42.986
0.0080000000  0.0080    0.101  45.190  37.280  28.310  28.147  40.636
0.0090000000  0.0090    0.100  42.490  35.070  26.971  27.124  38.526
0.0100000000  0.0100    0.099  39.950  33.000  25.729  26.180  36.566
0.0120000000  0.0120    0.098  35.230  29.120  23.498  24.425  33.036
0.0150000000  0.0150    0.096  32.810  26.800  22.228  23.149  30.436
0.0200000000  0.0200    0.093  30.750  24.640  20.922  21.596  26.996
0.0300000000  0.0300    0.088  28.980  22.350  19.522  19.608  22.566
0.0400000000  0.0400    0.083  28.180  21.190  18.200  18.291  19.966
0.0500000000  0.0500    0.079  27.640  20.470  17.009  17.161  18.046
0.0600000000  0.0600    0.076  27.200  19.930  15.974  16.174  16.526
0.0700000000  0.0700    0.078  25.690  18.600  14.334  14.436  14.336
0.0720000000  0.0720    0.081  24.170  17.480  13.407  13.415  13.336
0.0750000000  0.0750    0.089  21.100  15.390  12.217  11.958  11.786
0.0800000000  0.0800    0.099  19.100  13.890  11.427  11.070  10.796
# logAge= 10.07918 is picked from isochrones/CMD3.3-thick2.dat
0.0900000036  0.0900    0.107  17.117  12.730  10.775  10.437  10.214
0.0923039913  0.0920    0.110  16.761  12.547  10.663  10.307  10.079
0.0994709730  0.0990    0.119  15.724  12.023  10.335   9.928   9.689
0.1037442833  0.1040    0.124  15.338  11.822  10.198   9.776   9.532
0.1184129193  0.1180    0.140  14.187  11.211   9.767   9.306   9.053
0.1373548657  0.1370    0.158  13.319  10.695   9.365   8.884   8.628
0.1562968045  0.1560    0.176  12.737  10.314   9.051   8.560   8.303
0.1941807121  0.1940    0.210  11.959   9.746   8.556   8.054   7.801
0.2415355742  0.2410    0.250  11.287   9.219   8.081   7.570   7.320
0.2888904214  0.2880    0.289  10.785   8.812   7.709   7.192   6.944
0.3362452984  0.3350    0.326  10.371   8.472   7.396   6.873   6.628
0.3836001456  0.3830    0.366   9.924   8.114   7.072   6.543   6.302
0.4309550524  0.4300    0.413   9.411   7.713   6.714   6.175   5.944
0.4783098698  0.4770    0.463   8.825   7.264   6.322   5.766   5.562
0.5256648064  0.5250    0.513   8.135   6.766   5.894   5.322   5.164
0.5581501722  0.5570    0.545   7.623   6.411   5.603   5.062   4.930
0.5730196238  0.5720    0.561   7.405   6.257   5.478   4.955   4.831
0.6203744411  0.6200    0.610   6.751   5.774   5.102   4.665   4.559
0.6268085241  0.6260    0.616   6.667   5.710   5.051   4.626   4.522
0.6422417760  0.6420    0.634   6.468   5.557   4.931   4.531   4.431
0.6572073102  0.6570    0.652   6.282   5.412   4.814   4.438   4.343
0.6677293777  0.6670    0.666   6.154   5.309   4.732   4.371   4.278
0.6714178920  0.6710    0.670   6.110   5.273   4.702   4.346   4.255
0.6857892871  0.6850    0.692   5.940   5.133   4.586   4.249   4.161
0.6986593604  0.6980    0.714   5.788   5.009   4.480   4.157   4.073
0.7108542323  0.7100    0.736   5.644   4.890   4.377   4.067   3.987
0.7161926627  0.7150    0.747   5.581   4.837   4.332   4.026   3.948
0.7219653726  0.7210    0.759   5.512   4.778   4.281   3.980   3.903
0.7324624658  0.7320    0.784   5.386   4.671   4.185   3.893   3.820
0.7426410913  0.7420    0.811   5.262   4.563   4.088   3.804   3.734
0.7517977953  0.7510    0.838   5.147   4.462   3.998   3.720   3.652
0.7607089281  0.7600    0.866   5.033   4.361   3.905   3.633   3.568
0.7646560669  0.7640    0.882   4.980   4.314   3.862   3.592   3.528
0.7693896890  0.7680    0.900   4.917   4.257   3.808   3.542   3.478
0.7790280581  0.7780    0.942   4.782   4.133   3.691   3.431   3.369
0.7881004810  0.7870    0.988   4.648   4.009   3.574   3.318   3.258
0.7967075109  0.7950    1.040   4.517   3.886   3.456   3.203   3.144
0.8049994707  0.8030    1.097   4.384   3.759   3.332   3.082   3.024
0.8106004596  0.8090    1.140   4.290   3.668   3.243   2.994   2.937
0.8131192923  0.8110    1.164   4.245   3.623   3.198   2.950   2.892
0.8135626316  0.8120    1.170   4.237   3.615   3.190   2.942   2.884
0.8191490769  0.8170    1.232   4.130   3.507   3.080   2.831   2.773
0.8254711032  0.8240    1.321   4.000   3.371   2.939   2.687   2.628
0.8276907206  0.8260    1.356   3.952   3.320   2.886   2.632   2.572
0.8313400745  0.8290    1.435   3.867   3.224   2.781   2.521   2.460
0.8352041841  0.8330    1.548   3.772   3.108   2.650   2.379   2.314
0.8381792903  0.8360    1.673   3.702   3.008   2.527   2.240   2.170
0.8399954438  0.8380    1.782   3.668   2.942   2.439   2.133   2.059
0.8414925933  0.8390    1.905   3.640   2.879   2.349   2.023   1.944
0.8426699042  0.8400    2.039   3.597   2.805   2.251   1.907   1.823
0.8436914682  0.8410    2.186   3.526   2.711   2.138   1.778   1.691
