# Combined PARSEC isochrone (>= 0.55 Msun), Henry & McCarthy 1993, AJ, 106, 773's relation (0.09 Msun <= M <= 0.48 Msun), and Baraffe et al. 2003, A&A, 402, 701's isochrone (M <= 0.08 Msun)
# References for the PARSEC isochrone : 
# Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
#       Mini     MPD      Rad    MV_j    MI_c   MJ_2M   MH_2M   MK_2M
0.0030000000  0.0030    0.104  61.460  50.790  37.358  34.544  54.256
0.0040000000  0.0040    0.104  58.000  47.860  35.127  33.108  51.086
0.0050000000  0.0050    0.103  54.620  45.050  33.228  31.766  48.236
0.0060000000  0.0060    0.102  51.290  42.300  31.448  30.472  45.506
0.0070000000  0.0070    0.102  48.170  39.720  29.815  29.276  42.986
0.0080000000  0.0080    0.101  45.190  37.280  28.310  28.147  40.636
0.0090000000  0.0090    0.100  42.490  35.070  26.971  27.124  38.526
0.0100000000  0.0100    0.099  39.950  33.000  25.729  26.180  36.566
0.0120000000  0.0120    0.098  35.230  29.120  23.498  24.425  33.036
0.0150000000  0.0150    0.096  32.810  26.800  22.228  23.149  30.436
0.0200000000  0.0200    0.093  30.750  24.640  20.922  21.596  26.996
0.0300000000  0.0300    0.088  28.980  22.350  19.522  19.608  22.566
0.0400000000  0.0400    0.083  28.180  21.190  18.200  18.291  19.966
0.0500000000  0.0500    0.079  27.640  20.470  17.009  17.161  18.046
0.0600000000  0.0600    0.076  27.200  19.930  15.974  16.174  16.526
0.0700000000  0.0700    0.078  25.690  18.600  14.334  14.436  14.336
0.0720000000  0.0720    0.081  24.170  17.480  13.407  13.415  13.336
0.0750000000  0.0750    0.089  21.100  15.390  12.217  11.958  11.786
0.0800000000  0.0800    0.099  19.100  13.890  11.427  11.070  10.796
# Empirical relation based on Bennett+15
0.0900000000  0.0900    0.119  16.668  12.478  10.465   9.780   9.480
0.1200000000  0.1200    0.152  15.195  11.614   9.823   9.122   8.793
0.1500000000  0.1500    0.181  14.224  10.965   9.287   8.641   8.296
0.1800000000  0.1800    0.207  13.541  10.469   8.878   8.260   7.916
0.2100000000  0.2100    0.233  12.997  10.067   8.542   7.940   7.601
0.2400000000  0.2400    0.258  12.539   9.727   8.253   7.662   7.330
0.2700000000  0.2700    0.282  12.138   9.431   7.997   7.413   7.090
0.3000000000  0.3000    0.306  11.779   9.163   7.766   7.187   6.872
0.3300000000  0.3300    0.332  11.452   8.917   7.554   6.978   6.672
0.3600000000  0.3600    0.358  11.149   8.685   7.357   6.782   6.485
0.3900000000  0.3900    0.384  10.865   8.465   7.172   6.597   6.309
0.4200000000  0.4200    0.413  10.597   8.256   6.996   6.420   6.142
0.4500000000  0.4500    0.443  10.341   8.057   6.828   6.251   5.982
0.4800000000  0.4800    0.474  10.096   7.867   6.666   6.087   5.827
# logAge= 9.937016107464814 is picked from isochrones/CMD3.3-thin7.dat
0.5500000119  0.5500    0.553   9.022   7.162   6.100   5.498   5.274
0.6000000238  0.6000    0.601   8.345   6.696   5.720   5.097   4.916
0.6178879738  0.6180    0.615   8.087   6.523   5.580   4.958   4.796
0.6499999762  0.6500    0.640   7.630   6.227   5.345   4.741   4.607
0.7000000477  0.7000    0.679   6.948   5.775   5.003   4.478   4.369
0.7126541138  0.7130    0.690   6.789   5.664   4.919   4.419   4.313
0.7291512489  0.7290    0.705   6.593   5.523   4.810   4.336   4.235
0.7450229526  0.7450    0.720   6.411   5.391   4.708   4.260   4.163
0.7500000000  0.7500    0.725   6.354   5.349   4.676   4.235   4.140
0.7555435300  0.7550    0.731   6.296   5.305   4.640   4.207   4.112
0.7757649422  0.7750    0.756   6.085   5.142   4.510   4.103   4.012
0.7947038412  0.7940    0.780   5.893   4.993   4.388   4.004   3.917
0.7986197472  0.7980    0.785   5.854   4.962   4.363   3.983   3.897
0.8110433221  0.8110    0.803   5.733   4.863   4.281   3.915   3.830
0.8265756369  0.8260    0.827   5.583   4.742   4.179   3.830   3.747
0.8410431743  0.8400    0.851   5.444   4.629   4.085   3.749   3.669
0.8472393751  0.8460    0.862   5.386   4.581   4.044   3.714   3.635
0.8556292057  0.8550    0.878   5.307   4.516   3.988   3.664   3.587
0.8707355261  0.8700    0.909   5.166   4.398   3.885   3.572   3.498
0.8845253587  0.8830    0.939   5.037   4.287   3.787   3.484   3.412
0.8958590031  0.8950    0.967   4.930   4.195   3.705   3.410   3.340
0.9026944637  0.9020    0.986   4.865   4.139   3.653   3.363   3.294
0.9204382300  0.9190    1.038   4.695   3.988   3.516   3.236   3.169
0.9373799562  0.9360    1.097   4.533   3.842   3.380   3.108   3.042
0.9444786310  0.9430    1.121   4.466   3.781   3.322   3.053   2.988
0.9562290907  0.9550    1.171   4.355   3.677   3.222   2.957   2.893
0.9669004679  0.9660    1.223   4.245   3.573   3.122   2.860   2.797
0.9703048468  0.9690    1.240   4.209   3.539   3.089   2.828   2.765
0.9758600593  0.9750    1.271   4.150   3.481   3.033   2.772   2.709
0.9850040078  0.9840    1.330   4.049   3.382   2.933   2.673   2.610
0.9930983186  0.9920    1.393   3.958   3.289   2.838   2.576   2.513
0.9952306747  0.9940    1.410   3.934   3.264   2.812   2.550   2.487
1.0019724369  1.0010    1.473   3.855   3.179   2.724   2.459   2.395
1.0038765669  1.0030    1.495   3.832   3.154   2.697   2.430   2.366
1.0116049051  1.0100    1.595   3.745   3.051   2.581   2.305   2.238
1.0194306374  1.0180    1.730   3.680   2.950   2.454   2.156   2.086
1.0236109495  1.0220    1.833   3.684   2.913   2.386   2.065   1.990
