# Combined PARSEC isochrone (>= 0.09 Msun) and Baraffe et al. 2003, A&A, 402, 701's isochrone (M <= 0.08 Msun)
# References for the PARSEC isochrone : 
# Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Note that W146 mag for M <= 0.08 Msun is just given by (J + 0.021)
#       Mini     MPD      Rad   MJ_2M   MH_2M   MK_2M   MZ087   MW146   MF213
0.0030000000  0.0030    0.104  37.358  34.544  54.256  99.000  37.382  99.000
0.0040000000  0.0040    0.104  35.127  33.108  51.086  99.000  35.151  99.000
0.0050000000  0.0050    0.103  33.228  31.766  48.236  99.000  33.252  99.000
0.0060000000  0.0060    0.102  31.448  30.472  45.506  99.000  31.472  99.000
0.0070000000  0.0070    0.102  29.815  29.276  42.986  99.000  29.839  99.000
0.0080000000  0.0080    0.101  28.310  28.147  40.636  99.000  28.334  99.000
0.0090000000  0.0090    0.100  26.971  27.124  38.526  99.000  26.995  99.000
0.0100000000  0.0100    0.099  25.729  26.180  36.566  99.000  25.753  99.000
0.0120000000  0.0120    0.098  23.498  24.425  33.036  99.000  23.522  99.000
0.0150000000  0.0150    0.096  22.228  23.149  30.436  99.000  22.252  99.000
0.0200000000  0.0200    0.093  20.922  21.596  26.996  99.000  20.946  99.000
0.0300000000  0.0300    0.088  19.522  19.608  22.566  99.000  19.546  99.000
0.0400000000  0.0400    0.083  18.200  18.291  19.966  99.000  18.224  99.000
0.0500000000  0.0500    0.079  17.009  17.161  18.046  99.000  17.033  99.000
0.0600000000  0.0600    0.076  15.974  16.174  16.526  99.000  15.998  99.000
0.0700000000  0.0700    0.078  14.334  14.436  14.336  99.000  14.358  99.000
0.0720000000  0.0720    0.081  13.407  13.415  13.336  99.000  13.431  99.000
0.0750000000  0.0750    0.089  12.217  11.958  11.786  99.000  12.241  99.000
0.0800000000  0.0800    0.099  11.427  11.070  10.796  99.000  11.451  99.000
# logAge=  9.8451  is picked from isochrones/CMD-3.6-NSD_2MASS.dat and isochrones/CMD-3.6-NSD_Roman.dat
0.0900000036  0.0900    0.124  11.201  10.603  10.328  13.027  11.225  10.406
0.1000000089  0.1000    0.136  10.764  10.167   9.889  12.589  10.787   9.967
0.1200000048  0.1200    0.157  10.126   9.531   9.249  11.952  10.150   9.327
0.1400000155  0.1400    0.176   9.701   9.108   8.825  11.351   9.699   8.895
0.1533331424  0.1530    0.188   9.481   8.888   8.607  11.044   9.466   8.673
0.1599999964  0.1600    0.194   9.377   8.785   8.505  10.902   9.357   8.569
0.2000000179  0.2000    0.229   8.880   8.287   8.015  10.256   8.839   8.071
0.2500000000  0.2500    0.270   8.398   7.803   7.541   9.662   8.341   7.591
0.3000000119  0.3000    0.310   8.009   7.410   7.157   9.205   7.941   7.203
0.3271487653  0.3270    0.334   7.809   7.209   6.959   8.980   7.737   7.004
0.3500000238  0.3500    0.354   7.651   7.048   6.801   8.803   7.576   6.845
0.4000000358  0.4000    0.397   7.321   6.711   6.471   8.418   7.234   6.512
0.4500000477  0.4500    0.444   6.983   6.362   6.130   8.027   6.883   6.166
0.5000000000  0.5000    0.496   6.637   6.003   5.778   7.625   6.522   5.810
0.5005289316  0.5010    0.496   6.633   5.999   5.774   7.620   6.518   5.806
0.5500000715  0.5500    0.552   6.268   5.618   5.404   7.187   6.136   5.429
0.6000000238  0.6000    0.601   5.916   5.247   5.056   6.759   5.766   5.074
0.6389079094  0.6390    0.632   5.637   4.959   4.799   6.423   5.479   4.813
0.6499999762  0.6500    0.640   5.560   4.884   4.732   6.332   5.402   4.745
0.7000000477  0.7000    0.675   5.222   4.576   4.463   5.926   5.075   4.470
0.7194151878  0.7190    0.688   5.096   4.483   4.379   5.767   4.962   4.386
0.7500000000  0.7500    0.708   4.904   4.350   4.258   5.523   4.792   4.263
0.7666308284  0.7660    0.724   4.802   4.274   4.186   5.400   4.700   4.191
0.7978135943  0.7980    0.757   4.615   4.128   4.047   5.176   4.528   4.051
0.7994046211  0.7990    0.759   4.606   4.121   4.041   5.165   4.520   4.045
0.8235678673  0.8230    0.786   4.463   4.008   3.932   4.994   4.387   3.936
