# Combined PARSEC isochrone (>= 0.09 Msun) and Baraffe et al. 2003, A&A, 402, 701's isochrone (M <= 0.08 Msun)
# References for the PARSEC isochrone : 
# Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Note that W146 mag for M <= 0.08 Msun is just given by (J + 0.021)
#       Mini     MPD      Rad   MJ_2M   MH_2M   MK_2M   MZ087   MW146   MF213
0.0030000000  0.0030    0.104  37.358  34.544  54.256  99.000  37.379  99.000
0.0040000000  0.0040    0.104  35.127  33.108  51.086  99.000  35.148  99.000
0.0050000000  0.0050    0.103  33.228  31.766  48.236  99.000  33.249  99.000
0.0060000000  0.0060    0.102  31.448  30.472  45.506  99.000  31.469  99.000
0.0070000000  0.0070    0.102  29.815  29.276  42.986  99.000  29.836  99.000
0.0080000000  0.0080    0.101  28.310  28.147  40.636  99.000  28.331  99.000
0.0090000000  0.0090    0.100  26.971  27.124  38.526  99.000  26.992  99.000
0.0100000000  0.0100    0.099  25.729  26.180  36.566  99.000  25.750  99.000
0.0120000000  0.0120    0.098  23.498  24.425  33.036  99.000  23.519  99.000
0.0150000000  0.0150    0.096  22.228  23.149  30.436  99.000  22.249  99.000
0.0200000000  0.0200    0.093  20.922  21.596  26.996  99.000  20.943  99.000
0.0300000000  0.0300    0.088  19.522  19.608  22.566  99.000  19.543  99.000
0.0400000000  0.0400    0.083  18.200  18.291  19.966  99.000  18.221  99.000
0.0500000000  0.0500    0.079  17.009  17.161  18.046  99.000  17.030  99.000
0.0600000000  0.0600    0.076  15.974  16.174  16.526  99.000  15.995  99.000
0.0700000000  0.0700    0.078  14.334  14.436  14.336  99.000  14.355  99.000
0.0720000000  0.0720    0.081  13.407  13.415  13.336  99.000  13.428  99.000
