# Combined PARSEC isochrone (>= 0.09 Msun) and Baraffe et al. 2003, A&A, 402, 701's isochrone (M <= 0.08 Msun)
# References for the PARSEC isochrone : 
# Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Note that W146 mag for M <= 0.08 Msun is just given by (J + 0.021)
#       Mini     MPD      Rad   MJ_2M   MH_2M   MK_2M   MZ087   MW146   MF213
0.0030000000  0.0030    0.104  37.358  34.544  54.256  99.000  37.461  99.000
0.0040000000  0.0040    0.104  35.127  33.108  51.086  99.000  35.230  99.000
0.0050000000  0.0050    0.103  33.228  31.766  48.236  99.000  33.331  99.000
0.0060000000  0.0060    0.102  31.448  30.472  45.506  99.000  31.551  99.000
0.0070000000  0.0070    0.102  29.815  29.276  42.986  99.000  29.918  99.000
0.0080000000  0.0080    0.101  28.310  28.147  40.636  99.000  28.413  99.000
0.0090000000  0.0090    0.100  26.971  27.124  38.526  99.000  27.074  99.000
0.0100000000  0.0100    0.099  25.729  26.180  36.566  99.000  25.832  99.000
0.0120000000  0.0120    0.098  23.498  24.425  33.036  99.000  23.601  99.000
0.0150000000  0.0150    0.096  22.228  23.149  30.436  99.000  22.331  99.000
0.0200000000  0.0200    0.093  20.922  21.596  26.996  99.000  21.025  99.000
0.0300000000  0.0300    0.088  19.522  19.608  22.566  99.000  19.625  99.000
0.0400000000  0.0400    0.083  18.200  18.291  19.966  99.000  18.303  99.000
0.0500000000  0.0500    0.079  17.009  17.161  18.046  99.000  17.112  99.000
0.0600000000  0.0600    0.076  15.974  16.174  16.526  99.000  16.077  99.000
0.0700000000  0.0700    0.078  14.334  14.436  14.336  99.000  14.437  99.000
0.0720000000  0.0720    0.081  13.407  13.415  13.336  99.000  13.510  99.000
0.0750000000  0.0750    0.089  12.217  11.958  11.786  99.000  12.320  99.000
0.0800000000  0.0800    0.099  11.427  11.070  10.796  99.000  11.530  99.000
# logAge=  10.07918  is picked from isochrones/CMD-3.6-thick2_2MASS.dat and isochrones/CMD-3.6-thick2_Roman.dat
0.0900000036  0.0900    0.107  10.774  10.395  10.226  12.184  10.877  10.284
0.0923040137  0.0920    0.110  10.663  10.265  10.091  12.030  10.750  10.149
0.0994709730  0.0990    0.119  10.338   9.888   9.701  11.581  10.379   9.756
0.1037442386  0.1040    0.124  10.202   9.737   9.544  11.405  10.228   9.598
0.1184129193  0.1180    0.140   9.774   9.270   9.065  10.862   9.759   9.114
0.1373548657  0.1370    0.158   9.374   8.849   8.641  10.386   9.335   8.684
0.1562968045  0.1560    0.176   9.060   8.525   8.316  10.028   9.007   8.356
0.1941807121  0.1940    0.210   8.566   8.021   7.812   9.484   8.498   7.848
0.2415355742  0.2410    0.250   8.091   7.538   7.330   8.972   8.012   7.362
0.2888904214  0.2880    0.289   7.720   7.160   6.952   8.576   7.633   6.982
0.3362452984  0.3350    0.326   7.408   6.842   6.635   8.244   7.313   6.662
0.3836001456  0.3830    0.366   7.084   6.512   6.307   7.896   6.982   6.330
0.4309550524  0.4300    0.413   6.727   6.145   5.947   7.507   6.614   5.966
0.4783098698  0.4770    0.463   6.335   5.735   5.562   7.073   6.209   5.576
0.5256648064  0.5250    0.513   5.905   5.292   5.161   6.596   5.770   5.169
0.5581499934  0.5570    0.545   5.614   5.032   4.925   6.258   5.491   4.932
0.5730196238  0.5720    0.561   5.488   4.925   4.826   6.111   5.372   4.832
0.6203744411  0.6200    0.610   5.109   4.636   4.554   5.649   5.025   4.559
0.6268085241  0.6260    0.616   5.058   4.597   4.517   5.587   4.978   4.521
0.6422417760  0.6420    0.634   4.937   4.503   4.427   5.440   4.865   4.431
0.6572073102  0.6570    0.652   4.819   4.410   4.339   5.300   4.756   4.342
0.6677293777  0.6670    0.666   4.736   4.343   4.274   5.201   4.678   4.278
0.6714178920  0.6710    0.670   4.706   4.319   4.251   5.166   4.650   4.255
0.6857892871  0.6850    0.692   4.590   4.222   4.157   5.030   4.539   4.161
0.6986593604  0.6980    0.714   4.484   4.130   4.070   4.909   4.437   4.073
0.7108542323  0.7100    0.736   4.381   4.040   3.983   4.794   4.338   3.986
