# Combined PARSEC isochrone (>= 0.09 Msun) and Baraffe et al. 2003, A&A, 402, 701's isochrone (M <= 0.08 Msun)
# References for the PARSEC isochrone : 
# Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Note that W146 mag for M <= 0.08 Msun is just given by (J + 0.021)
#       Mini     MPD      Rad   MJ_2M   MH_2M   MK_2M   MZ087   MW146   MF213
0.0005000000  0.0005    0.105  36.588  32.592  51.596  99.000  36.608  99.000
0.0010000000  0.0010    0.109  30.922  28.788  43.206  99.000  30.942  99.000
0.0020000000  0.0020    0.112  24.532  24.380  33.996  99.000  24.552  99.000
0.0030000000  0.0030    0.113  21.622  22.098  29.006  99.000  21.642  99.000
0.0040000000  0.0040    0.114  20.668  20.924  26.426  99.000  20.688  99.000
0.0050000000  0.0050    0.113  19.920  19.999  24.516  99.000  19.940  99.000
0.0060000000  0.0060    0.113  19.409  19.421  23.076  99.000  19.429  99.000
0.0070000000  0.0070    0.112  18.919  18.842  21.656  99.000  18.939  99.000
0.0080000000  0.0080    0.111  18.496  18.405  20.716  99.000  18.516  99.000
0.0090000000  0.0090    0.110  18.076  17.994  19.926  99.000  18.096  99.000
0.0100000000  0.0100    0.110  17.683  17.623  19.196  99.000  17.703  99.000
0.0120000000  0.0120    0.110  16.318  16.280  16.796  99.000  16.338  99.000
0.0150000000  0.0150    0.107  16.142  16.153  16.556  99.000  16.162  99.000
0.0200000000  0.0200    0.104  15.291  15.343  15.346  99.000  15.311  99.000
0.0300000000  0.0300    0.101  13.875  13.879  13.666  99.000  13.895  99.000
0.0400000000  0.0400    0.100  12.896  12.766  12.656  99.000  12.916  99.000
0.0500000000  0.0500    0.101  12.197  11.958  11.766  99.000  12.217  99.000
0.0600000000  0.0600    0.102  11.684  11.370  11.106  99.000  11.704  99.000
0.0700000000  0.0700    0.106  11.269  10.911  10.606  99.000  11.289  99.000
0.0720000000  0.0720    0.107  11.189  10.821  10.516  99.000  11.209  99.000
0.0750000000  0.0750    0.108  11.080  10.701  10.396  99.000  11.100  99.000
# 0.0800000000  0.0800    0.111  10.891  10.501  10.196  99.000  10.911  99.000
# logAge=  8.778151250383644  is picked from isochrones/CMD-3.6-thin2_2MASS.dat and isochrones/CMD-3.6-thin2_Roman.dat
0.0900000036  0.0900    0.133  10.896  10.294  10.025  12.696  10.916  10.103
0.0967213809  0.0970    0.138  10.684  10.083   9.814  12.485  10.705   9.892
0.1000000015  0.1000    0.140  10.573   9.972   9.702  12.373  10.593   9.780
0.1168748140  0.1170    0.156  10.080   9.479   9.207  11.847  10.095   9.283
0.1200000048  0.1200    0.159  10.006   9.405   9.132  11.724  10.014   9.205
0.1242667660  0.1240    0.162   9.925   9.324   9.050  11.602   9.926   9.121
0.1400000006  0.1400    0.176   9.632   9.031   8.758  11.179   9.615   8.824
0.1588337123  0.1590    0.191   9.359   8.757   8.486  10.800   9.326   8.547
0.1599999964  0.1600    0.193   9.342   8.739   8.469  10.777   9.307   8.529
0.2000000030  0.2000    0.226   8.852   8.250   7.986  10.151   8.799   8.040
0.2500000000  0.2500    0.264   8.392   7.788   7.533   9.586   8.323   7.581
0.3013713360  0.3010    0.301   8.022   7.416   7.168   9.157   7.944   7.212
0.3117325902  0.3120    0.310   7.942   7.336   7.089   9.067   7.863   7.133
0.3500000238  0.3500    0.339   7.686   7.076   6.835   8.772   7.600   6.877
0.4000000358  0.4000    0.383   7.339   6.723   6.488   8.376   7.242   6.526
0.4500000179  0.4500    0.432   6.989   6.365   6.136   7.980   6.881   6.170
0.5000000000  0.5000    0.483   6.636   6.002   5.780   7.574   6.516   5.809
0.5500000119  0.5500    0.532   6.287   5.640   5.431   7.159   6.151   5.453
0.6000000238  0.6000    0.575   5.946   5.282   5.100   6.754   5.796   5.116
0.6499999762  0.6500    0.614   5.608   4.938   4.794   6.360   5.452   4.805
0.7000000477  0.7000    0.648   5.293   4.654   4.544   5.987   5.148   4.551
0.7017906308  0.7020    0.649   5.281   4.645   4.536   5.973   5.138   4.543
0.7382202744  0.7380    0.666   5.075   4.499   4.406   5.710   4.955   4.411
0.7500000000  0.7500    0.672   5.013   4.460   4.370   5.628   4.901   4.375
0.8000000119  0.8000    0.711   4.752   4.262   4.183   5.311   4.663   4.187
0.8500000238  0.8500    0.752   4.507   4.074   4.002   5.016   4.438   4.006
0.8999999762  0.8990    0.796   4.278   3.891   3.827   4.742   4.223   3.831
0.9499999881  0.9500    0.844   4.062   3.715   3.659   4.488   4.019   3.661
1.0000000000  1.0000    0.897   3.854   3.538   3.489   4.248   3.820   3.491
1.0499999523  1.0490    0.954   3.655   3.367   3.324   4.022   3.629   3.326
1.0875110626  1.0870    1.001   3.509   3.240   3.201   3.858   3.488   3.203
